id,p_label,1,2,3,4,5,6,7,8
39529,0,-0.008857636,-0.0012020003,0.0026634447,-0.00570387,-0.0010514185,-0.0027481243,-0.013236947,-0.0033337101
23135,0,-0.0090941,-0.0009794608,0.0019731075,-0.0072393343,-0.00056705624,-0.001784984,-0.010708936,-0.0035190242
27218,0,-0.009117195,-0.0011075661,0.0013637617,-0.00760109,-0.0009800643,-0.0018952861,-0.011186186,-0.003898153
157629,0,-0.01120718,-0.0037070345,0.003917571,-0.008901438,-0.0021519437,-0.001882989,-0.012304468,-0.0035008648
25539,0,-0.0074476134,-0.0013875309,0.002643764,-0.004463887,-0.0014251545,-0.0028794259,-0.013165146,-0.0032642912
23335,0,-0.0091263335,-0.0005897861,0.0018774681,-0.006844163,-0.00021798164,-0.0018583238,-0.011096252,-0.0034150784
157457,0,-0.012948586,-0.0027777646,0.0061885267,-0.010476781,-3.6984682e-05,-0.00060749054,-0.009156134,-0.0025028149
39239,0,-0.010088725,-0.0022016186,0.0043057315,-0.00711059,-0.0013617165,-0.0028414465,-0.012456631,-0.0032453486
42396,0,-0.010233602,-0.0027410798,0.0028881542,-0.00820202,-0.0020374656,-0.0022630282,-0.012646932,-0.0039345324
23549,0,-0.009727867,-0.003301505,0.0027768426,-0.008010166,-0.0032965168,-0.0030451752,-0.013745569,-0.004305299
157939,0,-0.010267826,-0.0030383077,0.0024168454,-0.008422287,-0.0026440062,-0.0024578273,-0.013168059,-0.0041540423
158143,0,-0.010847794,-0.00059830584,0.0021614954,-0.008950805,0.001321882,-4.132837e-05,-0.008898525,-0.0027247695
27687,0,-0.009941218,-0.002822496,0.0023393556,-0.0083333645,-0.002817206,-0.0027477816,-0.01334352,-0.0043889415
39373,0,-0.006088488,0.004348157,0.00063225254,-0.0028673988,0.0039559416,-0.0016637295,-0.008495277,-0.0020152768
42716,0,-0.009733304,-0.0027101282,0.00348996,-0.007157445,-0.0019206256,-0.002327405,-0.012550104,-0.0034845308
21216,0,-0.008119183,0.00032776222,0.0006923154,-0.0069457404,0.00032243878,-0.0013217442,-0.009108353,-0.003502007
157311,0,-0.010927031,-0.0018554796,0.0020283572,-0.009161945,-0.00096037984,-0.0013412908,-0.011285881,-0.0037685507
39168,0,-0.008408729,0.0005147867,0.0016904771,-0.0063275862,0.0014307648,-0.0010311007,-0.008689934,-0.002871716
26622,0,-0.007844364,0.0009707082,0.00034037977,-0.006541323,0.0009668134,-0.001136966,-0.008565191,-0.0033050296
25335,0,-0.003765544,0.0021001343,0.0016438775,-0.0011988152,0.0014793836,-0.0018073097,-0.008193791,-0.0017905636
28096,0,-0.009485194,-0.0015179403,0.0019071624,-0.007715415,-0.0012310855,-0.0021421574,-0.011763543,-0.0038299658
157670,0,-0.011169577,-0.0037003532,0.003614068,-0.009494511,-0.002585329,-0.0019777901,-0.012122702,-0.003934543
41063,4,-0.006172614,0.0033609197,-0.0009580031,-0.005544182,0.0030427128,1.0639429e-05,-0.0042903163,-0.0025448883
21250,0,-0.008901754,-0.0013342258,0.0017652102,-0.0070308223,-0.0012868755,-0.00224524,-0.01201798,-0.0038544205
